period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,esp_timer,wifi,sys_evt,ipc0,Heap,Stack,Mbps,main
5,529,3776,3437394,7170,19,19464,3496,699219,24118,1843,290608,4152,0.01,99628
6,6082,14090,4418510,11294,19,19464,4894,714877,24118,1843,290608,4152,0.00,99628
7,6082,16574,5405038,12461,19,19464,6093,726906,24118,1843,290608,4152,0.00,99628
8,130303,19167,6106228,224380,19,19464,7397,944924,24118,1843,290608,4152,16.55,99628
9,247161,22327,7753384,447861,19,19464,8689,1170765,24118,1843,290608,4152,16.55,99628
10,365274,25160,8490786,669301,19,19464,9972,1393076,24118,1843,290608,4152,16.49,99628
11,479940,27906,8211961,887456,19,19464,11316,1610947,24118,1843,290608,4152,16.36,99628
12,598408,30727,8901058,1112382,19,19464,12600,1833390,24118,1843,290608,4152,16.77,99628
13,714419,33522,9603429,1331914,19,19464,14064,2052627,24118,1843,290608,4152,16.35,99628
14,828310,36624,10311095,1545520,19,19464,15381,2266666,24118,1843,290608,4152,16.17,99628
15,948364,39351,10998114,1768505,19,19464,16897,2488949,24118,1843,290608,4152,16.56,99628
16,1071565,42028,11689300,1995327,19,19464,18342,2712541,24118,1843,290608,4152,16.73,99628
17,1177805,44295,12416554,2188539,19,19464,19541,2901826,24118,1843,290608,4152,13.89,99628
18,1330785,47472,14497357,2426381,19,19464,21015,3110086,24118,1843,290608,4152,15.85,99628
19,1487268,50537,15219735,2669445,19,19464,22571,3324978,24118,1843,290608,4152,16.44,99628
20,1653815,54064,14376653,2939413,19,19464,24104,3571506,24118,1843,290608,4152,18.55,99628
21,1785163,57167,16644047,3180943,19,19464,25408,3808431,24118,1843,290608,4152,17.46,99628
22,1900835,60192,15742114,3401555,19,19464,26630,4031491,24118,1843,290608,4152,16.85,99628
23,2011981,62706,16430302,3615941,19,19464,27951,4253444,24118,1843,290608,4152,16.36,99628
24,2127377,65877,17118397,3835333,19,19464,29269,4474361,24118,1843,290608,4152,16.58,99628
25,2244688,69113,19680298,4055411,19,19464,30643,4693829,24118,1843,290608,4152,16.30,99628
26,2361630,72150,18502267,4277314,19,19464,31979,4915175,24118,1843,290608,4152,16.72,99628
27,2476975,75381,19196283,4495180,19,19464,33114,5133795,24118,1843,290608,4152,16.40,99628
28,2601915,78255,19880424,4723588,19,19464,34443,5357123,24118,1843,290608,4152,16.78,99628
29,2726312,81129,20568338,4949531,19,19464,35749,5578090,24118,1843,290608,4152,16.27,99628
30,2859841,84273,21252639,5178908,19,19464,37031,5798426,24118,1843,290608,4152,16.28,99628
31,2997143,87543,24129135,5414171,19,19464,38451,6023547,24118,1843,290608,4152,16.59,99628
32,3136238,90802,22617381,5650951,19,19464,39627,6246984,24118,1843,290608,4152,16.73,99628
33,3266429,93668,25588608,5879108,19,19464,41062,6467064,24118,1843,290608,4152,16.36,99628
34,3404180,96897,26315812,6117907,19,19464,42532,6693195,24118,1843,290608,4152,16.72,99628
35,3534560,99934,27053863,6345774,19,19464,43849,6911570,24118,1843,290608,4152,16.47,99628
36,3672413,103423,27786084,6582802,19,19464,45415,7135253,24118,1843,290608,4152,16.42,99628
37,3809235,106338,26020420,6817420,19,19464,46861,7359307,24118,1843,290608,4152,16.66,99628
38,3942795,109046,26697986,7049282,19,19464,48242,7582427,24118,1843,290608,4152,16.53,99628
39,4073295,112219,27373474,7277847,19,19464,49609,7804418,24118,1843,290608,4152,16.31,99628
40,4210647,115478,30725384,7513426,19,19464,51108,8029165,24118,1843,290608,4152,16.78,99628
41,4347552,118125,28745451,7743698,19,19464,52459,8250260,24118,1843,290608,4152,16.32,99628
42,4475668,121222,29429942,7970880,19,19464,53829,8468927,24118,1843,290608,4152,16.36,99628
43,4611220,124331,30108344,8206998,19,19464,55180,8693528,24118,1843,290608,4152,16.73,99628
44,4744974,127507,30789695,8437553,19,19464,56666,8913388,24118,1843,290608,4152,16.33,99628
45,4882235,130272,31474171,8673280,19,19464,58222,9138037,24118,1843,290608,4152,16.44,99628
46,5016470,133148,32171175,8906665,19,19464,59482,9360899,24118,1843,290608,4152,16.55,99628
47,5150066,135677,32869060,9142062,19,19464,60804,9584795,24118,1843,290608,4152,16.69,99628
48,5270736,138736,33565248,9364641,19,19464,62143,9803965,24118,1843,290608,4152,16.17,99628
49,5394337,141914,34263342,9587862,19,19464,63368,10023669,24118,1843,290608,4152,16.58,99628
50,5514927,145092,38031393,9810662,19,19464,64702,10244957,24118,1843,290608,4152,16.78,99628
51,5632055,147727,38778242,10029276,19,19464,65912,10462537,24118,1843,290608,4152,16.23,99628
52,5745650,151115,36365621,10247293,19,19464,67262,10680157,24118,1843,290608,4152,16.46,99628
53,5865730,153601,40277965,10471993,19,19464,68436,10902087,24118,1843,290608,4152,16.87,99628
54,5984330,156295,37760674,10692985,19,19464,69675,11121223,24118,1843,290608,4152,16.27,99628
55,6101448,159461,38454532,10913175,19,19464,71029,11340599,24118,1843,290608,4152,16.41,99628
56,6218548,162261,39147336,11133362,19,19464,72334,11562494,24118,1843,290608,4152,16.64,99628
57,6337748,165043,43269023,11355771,19,19464,73561,11784426,24118,1843,290608,4152,16.42,99628
58,6455021,167819,40550821,11574393,19,19464,74777,12002204,24118,1843,290608,4152,16.29,99628
59,6572102,170764,44759936,11796423,19,19464,76138,12229345,24118,1843,290608,4152,16.58,99628
60,6698414,173898,41928796,12024991,19,19464,77519,12450401,24118,1843,290608,4152,16.53,99628
61,6824298,176908,42617695,12252389,19,19464,78872,12671464,24118,1843,290608,4152,16.25,99628
62,6966106,180121,46967553,12492531,19,19464,80416,12894416,24118,1843,290608,4152,16.65,99628
63,7110561,183276,43990940,12732467,19,19464,81668,13118408,24118,1843,290608,4152,16.70,99628
64,7249739,186277,44684870,12966707,19,19464,82979,13339954,24118,1843,290608,4152,16.17,99628
65,7380406,189414,45364899,13198537,19,19464,84345,13565115,24118,1843,290608,4152,16.84,99628
66,7506469,191920,46062896,13425544,19,19464,85702,13786373,24118,1843,290608,4152,16.31,99628
67,7632540,194568,46751212,13653056,19,19464,87183,14008027,24118,1843,290608,4152,16.45,99628
68,7757522,197744,47430822,13882340,19,19464,88753,14228227,24118,1843,290608,4152,16.63,99628
69,7890037,201200,48125361,14117840,19,19464,90010,14455604,24118,1843,290608,4152,16.71,99628
70,8019599,203681,48830959,14343479,19,19464,91252,14676233,24118,1843,290608,4152,16.17,99628
71,8151970,206845,49523642,14575691,19,19464,92652,14901625,24118,1843,290608,4152,16.68,99628
